Scientific Name,#Occurrences
oligoryzomys destructor,577
glossophaga leachii,575
haplonycteris fischeri,575
holochilus chacarius,575
macroglossus minimus,572
neurotrichus gibbsii,571
stygimys kuszmauli,568
sorex palustris,564
antilocapra americana,563
peromyscus difficilis,560
bison bison,559
tamiasciurus douglasii,556
akodon sp.,555
trichechus manatus,554
ovis canadensis,552
notiosorex crawfordi,547
monophyllus redmani,543
molossus ater,540
myotis ciliolabrum,540
phyllotis darwini,539
synaptomys cooperi,539
choeronycteris mexicana,538
eumys sp,528
artibeus toltecus,527
leptonycteris yerbanuene,526
artibeus fraterculus,524
thomomys umbrinus,519
spermophilus variegatus,518
ctenomys boliviensis,516
hylaeamys perenensis,516
akodon montensis,514
akodon boliviensis,512
mustela vison,510
pipistrellus nanus,509
didelphis marsupialis,507
microtus breweri,507
onychomys torridus,507
equus caballus,505
neofiber alleni,505
baiomys musculus,504
proechimys simonsi,504
balaena mysticetus,502
microtus arvalis,501
stenella longirostris,495
sylvilagus nuttallii,495
tamias rufus,495
leptonychotes weddellii,493
artibeus intermedius,490
martes pennanti,490
sorex araneus,490
perimyotis subflavus,489
perognathus longimembris,488
proechimys steerei,486
rhynchonycteris naso,484
necromys lasiurus,482
tamias ruficaudus,481
phocoena phocoena,480
proechimys brevicauda,479
artibeus phaeotis,478
equus occidentalis,478
balantiopteryx plicata,473
hipposideros diadema,473
multituberculate sp,473
ammospermophilus leucurus,472
perognathus merriami,472
hyopsodus powellianus,471
phyllostomus discolor,471
geomys breviceps,466
macrotus waterhousii,464
meniscoessus robustus,462
baiomys taylori,461
hipposideros caffer,458
microtus townsendii,458
ochotona collaris,456
scapanus townsendii,456
peromyscus crinitus,451
spermophilus beecheyi,450
ischyromys veterior,448
thomomys bulbivorus,445
artibeus cinereus,443
tamias alpinus,443
pygoderma bilabiatum,442
brachyphylla cavernarum,440
aplodontia rufa,439
dasypus novemcinctus,439
coleura afra,435
myotis occultus,435
chaetodipus baileyi,434
arborimus longicaudus,431
delphinus capensis,430
reithrodontomys humulis,430
arborimus pomo,429
heteromys desmarestianus,429
delphinapterus leucas,427
euceratherium collinum,427
lasiurus intermedius,427
ectypodus tardus,425
noctilio albiventris,425
ovis aries,422
peromyscus gratus,422
dipodomys stephensi,417
mesoscalops scopelotemos,416
natalus stramineus,416
metanoiamys agorus,414
osgoodomys banderanus,414
noctilio leporinus,413
artibeus obscurus,409
artibeus hirsutus,408
cupidinimus madisonensis,407
histriophoca fasciata,403
tuscahomys walshi,403
platyrrhinus lineatus,400
balantiopteryx io,399
copemys dentalis,399
pecari tajacu,399
eumops bonariensis,398
leptonycteris nivalis,398
palaeolagus burkei,397
microdipodops megacephalus,391
pteropus lylei,391
callorhinus ursinus,390
thomomys mazama,389
erophylla sezekorni,386
meriones unguiculatus,384
microtus abbreviatus,383
suncus murinus,382
phenacodus sp,378
plecotus townsendii,377
meriones crassus,374
leporid sp,373
leptomeryx sp,372
chaerephon plicata,371
calomyscus baluchi,370
cupidinimus sp,370
scapanus orarius,369
peratherium sp,368
mimomys stehlini,366
spermophilus columbianus,364
meriones meridianus,363
pteronotus personatus,363
myotis septentrionalis,362
necromys obscurus,359
reithrodontomys sp.,359
anoura geoffroyi,357
myotis sp.,357
tamias cinereicollis,355
oryzomys mexicanus,354
myopus schisticolor,353
apodemus uralensis,349
peromyscus sp,348
lagostomus maximus,344
microtus sp,343
sigmodon ochrognathus,342
artibeus watsoni,341
perognathus sp.,341
reithrodontomys montanus,341
octodon degus,340
hyperacrius fertilis,339
ictidomys tridecemlineatus,339
prosciurus sp,338
hypolagus apachensis,337
auliscomys pictus,336
nyctinomops macrotis,336
carnivore sp,335
equus scotti,335
sorex merriami,334
didelphodon vorax,332
dipodomys nelsoni,332
marmota caligata,331
oligoryzomys nigripes,331
