Scientific Name,#Occurrences
microtus transcaspicus,16
mirounga leonina,16
molossus pretiosus,16
mormopterus petrophilus,16
myolestes spinosus,16
myotis bocagei,16
myotis macrotarsus,16
nannippus gratus,16
neotherium mirum,16
ondatra zibethica,16
oreonetes anceps,16
oreonetes sp,16
oryzomys albiventer,16
ovis orientalis,16
oxyclaenus cuspidatus,16
papio robinsoni,16
pararyctes pattersoni,16
paromomyid sp,16
peromyscus pliocaenicus,16
petaurista alborufus,16
phenacodontid sp,16
phyllotis haggardi,16
prionotemnus palankarrinicus,16
procamelus grandis,16
proterixoides davisi,16
protoreodon annectens,16
protospermophilus oregonensis,16
pseudosciurus suevicus,16
pteropus woodfordi,16
pudu puda,16
rhynchocyon cirnei,16
saccolaimus peli,16
sciuravus popi,16
sminthopsis crassicaudata,16
sminthopsis macroura,16
spermophilus citellus,16
spermophilus dauricus,16
spermophilus richardsoni,16
stegomastodon mirificus,16
stochomys longicaudatus,16
sylvilagus [unknown],16
tapirus indicus,16
tatera schinzi,16
thomasomys erro,16
tremarctos ornatus,16
trimylus compressus,16
uintacyon sp,16
uintatherium sp,16
urocitellus beldingi,16
ursus thibetanus,16
vampyrops lineatus,16
vulcanisciurus africanus,16
aconaemys porteri,15
afrocricetodon songhori,15
akodon surdus,15
akodon xanthorhinus,15
aletodon sp,15
allactaga hotsoni,15
alphagaulus pristinus,15
aotus vociferans,15
apodemus penisulae,15
ateles fusciceps,15
atilax paludinosus,15
bandicota indica,15
barbastella barbastellus,15
bathygenys alpha,15
berardius bairdii,15
bison latifrons,15
borophagus diversidens,15
bos gaurus,15
cannomys badius,15
cebuella pygmaea,15
cephalophus niger,15
ceratotherium simum,15
chroeomys andinus,15
cimolomys clarki,15
claviglis haedulus,15
colodon kayi,15
copemys sp,15
cratogeomys perotensis,15
cricetodon atlasi,15
crocidura mariquensis,15
cryptomys damarensis,15
cryptotis goodwini,15
cyclopidius simus,15
cynodictis lacustris,15
dactylomys boliviensis,15
dactylomys dactylinus,15
diacodexis secans,15
diclidurus albus,15
diprotodon optatum,15
echimys grandis,15
ectoconus ditrigonus,15
eotitanops sp,15
erethizon epixanthum,15
euchoreutes naso,15
funambulus palmarum,15
funambulus pennanti,15
funisciurus congicus,15
furipterus horrens,15
geomys lutescens,15
glaucomys sp.,15
heliscomys vetus,15
hybomys univitattus,15
hylomyscus alleni,15
isoodon macrourus,15
kerodon rupestris,15
lemniscomys barbarus,15
leptotragulus sp,15
louisina mirabilis,15
macropus sp.,15
macroscelides flavicaudatus,15
manis tricuspis,15
merychippus insignis,15
merychippus stylodontus,15
mesoplodon carlhubbsi,15
metaphiomys sp,15
micronycteris brachyotis,15
microsyops elegans,15
mimetillus moloneyi,15
molossops abrasus,15
mus sp.,15
myodes smithii,15
myosorex varius,15
myotis chiloensis,15
nannippus forcei,15
neoplagiaulax burgessi,15
neotomys ebriosus,15
niviventer confucianus,15
nyctimene robinsoni,15
nyctinomus norfolkensis,15
nyctophilus walkeri,15
ochotona nitidia,15
ochotona roylei,15
okapia johnstoni,15
oryzomys auriventer,15
oryzomys navus,15
oryzomys xantheolus,15
paradomnina relictus,15
parahippus avus,15
parapontoporia sternbergi,15
perathere sp,15
perognathus alticolus,15
petrogale penicillata,15
phenacomys ungava,15
pipestoneia douglassi,15
pipestoneomys bisulcatus,15
pitymys pinetorum,15
pitymys quasiater,15
platyrrhinus umbratus,15
plesiadapis simonsi,15
pliauchenia magnifontis,15
pliohippus fairbanksi,15
pogonomys macrourus,15
procamelus sp,15
prodremotherium elongatum,15
pseudantechinus macdonnellensis,15
pseudomys gracilicaudatus,15
putorius cicognanii,15
reithrodontomys spectabilis,15
rhinolophus dobsoni,15
rhipidomys venezuelae,15
rhogeessa aeneus,15
saccostomus mearnsi,15
scotophilus fuscus,15
semnopithecus entellus,15
spalax leucodon,15
spermophilus pallidicauda,15
stenomylus hitchcocki,15
strepsiceros strepsiceros,15
sturnira ?,15
sylvilagus dicei,15
tetonius mckennai,15
thylogale stigmatica,15
tupaia sp.,15
vampyressa sp.,15
vampyrodes caraccioloi,15
viverravus gracilis,15
xerospermophilus mohavensis,15
zygorhiza kochii,15
abrocoma bennetti,14
acmeodon sp,14
agriochoerid sp,14
alces americanus,14
alouatta belzebul,14
alticola strelzowi,14
ammospermophilus insularis,14
amynodon advenus?,14
anconodon sp,14
apomys littoralis,14
artibeus hercules,14
babyrousa babyrousa,14
balaenoptera borealis,14
blastomeryx galushi,14
brachylagus coloradensis,14
callosciurus caniceps,14
carpolestes dubius,14
cervid sp,14
chaetophractus vellerosus,14
chilonycteris macleayii,14
citellus stejnegeri,14
colodon sp,14
copelemur sp,14
cryptoryctes kayi,14
delomys dorsalis,14
dipodillus dasyuroides,14
elephantulus myurus,14
erethizon dorsatus,14
eumops sp.,14
frictops thomsoni,14
gazella sp.,14
gazella subgutturosa,14
gerbillurus setzeri,14
gypsonictops sp,14
haplohippus texanus,14
hesperomys muriculus,14
heteromys nelsoni,14
hipposideros pygmaeus,14
hypolagus edensis,14
hyracodon nebrascensis,14
kobus vardonii,14
labidolemur kayi,14
lagurus curtatus,14
lampronycteris brachyotis,14
leptauchenia sp,14
leptoreodon marshi,14
lophiotherium pygmaeum,14
loxolophus hyattianus,14
macrocranion nitens,14
malacomys longipes,14
meriones sp.,14
merychyus calaminthus,14
merycodus sp,14
mesohippus portentus,14
microgale principula,14
micronycteris microtis,14
microparamys tricus,14
mictomys sp,14
mookomys sp,14
mus bufo,14
mus neavei,14
myodes andersoni,14
myoprocta pratti,14
nannippus lenticularis,14
natrona natronensis,14
neacomys musseri,14
niglarodon sp,14
nycteris nana,14
nyctophilus arnhemensis,14
octodon bridgesi,14
octodontomys gliroides,14
oligoryzomys arenalis,14
oligoryzomys stramineus,14
omomys powayensis,14
orthogeomys grandis,14
orthogeomys underwoodi,14
oxyacodon agapetillus,14
oxyclaenus simplex,14
oxymycterus inca,14
paciculus sp,14
palaeictops bicuspis,14
panthera atrox,14
paraphiomys simonsi,14
parapontoporia wilsoni,14
peridiomys? sp,14
perognathus ancenensis,14
peromyscus species,14
petrodromus sultani,14
petromyscus monticularis,14
proboscidean sp,14
protemnodon brehus,14
protictis sp,14
protospermophilus angusticeps,14
pseudocheirus occidentalis,14
rangifer ?,14
rhinophylla alethina,14
saccolaimus saccolaimus,14
saguinus nigricollis,14
saimiri oerstedii,14
sayimys sivalensis,14
sorex alpinus,14
spalacopus cyanus,14
tachyoryctes ibeanus,14
tamiasciurus sp,14
tatera sp.,14
thomasomys niveipes,14
thomasomys sylvestris,14
ticholeptus compressidens,14
titanotheriomys veterior,14
vampyressa melissa,14
xerus rutilus,14
agriotherium schneideri,13
akodon siberiae,13
andalgalomys pearsoni,13
archaeomys sp,13
archaeotherium mortoni,13
bassaricyon gabbii,13
bison sp.,13
blackia miocaenica,13
blastomeryx sp,13
borophagus diabloensis,13
bos indicus,13
bubalus mindorensis,13
callosciurus erythraeus,13
callosciurus imitator,13
callosciurus prevostii,13
callosciurus pygerythrus,13
callospermophilus madrensis,13
campestrallomys dawsonae,13
cephalophus zebra,13
chaetodipus arenarius,13
chalinolobus morio,13
chriacus mediator,13
cimolodon sp,13
citellus tereticaudus,13
clethrionomys sp,13
connochaetes grandis,13
copemys pagei,13
cratogeomys merriami,13
crocidura fumosa,13
ctenomys frater,13
daphoenodon superbus,13
dendromus melanotis,13
didelphis sp.,13
dipodomys insularis,13
dipodomys ordi,13
domnina thompsoni,13
dusignathus santacruzensis,13
eomys sp,13
epicyon haydeni,13
equus francisci,13
funisciurus carruthersi,13
gazella leptoceros,13
gerbillus dasyurus,13
glauconycteris variegata,13
gomphotherium angustidens,13
griphomys alecer,13
heliosciurus gambianus,13
hipposideros fuliginosus,13
hipposideros pratti,13
hyaenodontid sp,13
hydrurga leptonyx,13
hyopsodontid sp,13
jaculus blanfordi,13
juliomys pictipes,13
kobus defassa,13
lambertocyon eximius,13
landenodon woutersi,13
lasionycteris noctivigans,13
leptictis acutidens,13
leptomeryx exilis,13
leptoreodon major,13
leptoreodon sp,13
ligerimys lophidens,13
lobodon carcinophaga,13
macrocranion sp,13
marmosa mitis,13
marmosops bishopi,13
megatherium sp,13
menetes berdmorei,13
microtus mongolicus,13
miniopterus schreibersii,13
myotis horsfieldii,13
nanotitan shanghuangensis,13
neohipparion leptode,13
neomys anomalus,13
neotragus pygmaeus,13
neusticomys monticolus,13
occitanomys androveri,13
oryx dammah,13
oxyaenid sp,13
oxymycterus josei,13
palaeosinopa aestuaria,13
papio izodi,13
pediomys clemensi,13
perognathus minutus,13
perognathus penicillatus,13
phataginus tricuspis,13
phloeomys cumingi,13
pildra magnus,13
pitymys pelandonius,13
plecotus ognevi,13
plesiadapis gidleyi,13
plesiodimylus chantrei,13
pliohippus martini,13
pliohippus osborni,13
pliohippus pernix,13
pliohippus proversus,13
procoptodon goliah,13
procoptodon rapha,13
pseudorhinolophus bouziguensis,13
pteropus gouldi,13
putorius vison,13
ragnarok nordicum,13
rattus leucopus,13
rattus nitidis,13
reithrodontomys microdon,13
rhinolophus darlingi,13
rhinolophus hildebrandti,13
rousettus brachyotis,13
scalops aquaticus,13
sciurus hudsonicus,13
scotophilus nux,13
sorex camtschatica,13
sorex hydrodromus,13
sorex ixtlanensis,13
sorex rohweri,13
sus domesticus,13
sylvilagus audubonii/floridanus,13
tadarida condylura,13
tadarida cynocephala,13
taphozous longimanus,13
teilhardina gallica,13
telmatherium sp,13
thylogale brunii,13
torrejonia sirokyi,13
vulpavus canavus,13
xenastrapotherium kraglievichi,13
absarokius noctivagus,12
aethalops alecto,12
alphadon praesagus,12
andalgalomys olrogi,12
balionycteris maculata,12
bos grunniens,12
callippus regulus,12
capra sp.,12
castor fiber,12
cervus elephas,12
cervus mariannus,12
cervus sp.,12
coendou bicolor,12
coendou rothschildi,12
crocidura baluensis,12
cryptotis merriami,12
cuniculus taczanowskii,12
cyclopidius sp,12
cyttarops alecto,12
dasyprocta paca,12
dendrolagus lumholtzi,12
dichobunid sp,12
dicrostonyx nelsoni,12
didelphodus absarokae,12
dipassalus oryctes,12
domninoides valentinensis,12
eligmodontia sp.,12
eliomys intermedius,12
eohaplomys matutinus,12
eohaplomys tradux,12
eptesicus andinus,12
equus [unknown],12
eutamias umbrinus,12
funisciurus anerythrus,12
galidia elegans,12
geocapromys thoracatus,12
handleyomys rostratus,12
hemiauchenia vera,12
hippocamelus antisensis,12
hipposideros turpis,12
homogalax primaevus,12
hoplophoneus sp,12
hypisodus minimus,12
hyrachyus eximius,12
insectivore? sp,12
lasiurus noveboracensis,12
lemniscomys rosalia,12
leptonychotes weddelli,12
leptotomus parvus,12
lepus nigricollis,12
lophiotherium cervulum,12
loris tardigradus,12
lutra longicaudis,12
macroderma gigas,12
marmosa canescens,12
marmosops neblina,12
marmosops parvidens,12
marmota sp.,12
marmota vancouverensis,12
mazama gouazoupira,12
megacamelus merriami,12
mephitis sp.,12
merycochoerus sp,12
merycopotamus anisae,12
micoureus constantiae,12
microtus guildayi,12
microtus sikimensis,12
mioclaenus turgidus,12
molossops greenhalli,12
molossus sp,12
monodelphis adusta,12
monodelphis americana,12
mungos mungo,12
myonycteris torquata,12
myotis ruber,12
mystipterus sp,12
mystromys albicaudatus,12
niviventer cremoriventer,12
nycteris grandis,12
nyctophilus geoffroyi,12
olenopsis aequatorialis,12
oligospermophilus emryi,12
oreonetes cheyennensis,12
oryzomys meridensis,12
oryzomys xanthaeolus,12
ourebia ourebia,12
pantolestid sp,12
papio sp.,12
parotomys brantsii,12
patene simpsoni,12
peratherium comstocki,12
perognathus californicus,12
peromyscus ochroventer,12
phenacodus brachypternus,12
philander canus,12
pipanacoctomys aureus,12
pipistrellus ruppelli,12
platygonus vetus,12
plecotus sp.,12
plesiocolopirus hancocki,12
plesiomeryx quinquedentatus,12
pliohippus coalingensis,12
potamogale velox,12
procamelus occidentalis,12
proechimys iheringi,12
proechimys poliopus,12
propalaeotherium argentonicum,12
protitanops clarnensis,12
pseudocylindrodon neglectus,12
rattus hawaiiensis,12
reithrodon cuniculoides,12
rhipidomys sp.,12
schaubeumys sp,12
sicista concolor,12
simidectes sp,12
sminthopsis laniger,12
sorex gracillimus,12
sphaerias blanfordi,12
sylvilagus graysoni,12
tachyoryctes sp.,12
tapirus pinchaque,12
thomasomys kalinowskii,12
thylogale thetis,12
tragelaphus eurycerus,12
trichechus inunguis,12
tupaia montana,12
turgidodon rhaister,12
urocitellus columbianus,12
ursus sp.,12
viverravus lutosus,12
acomys kempi,11
acomys selousi,11
akodon neocenus,11
akodon nigrita,11
allactaga major,11
allomys hippodus,11
allomys nitens,11
alouatta fusca,11
anotomys leander,11
antelope sp,11
apodemus mystacinus,11
apodemus sp,11
apternodus sp,11
ardynomys occidentalis,11
ateles paniscus,11
babyrousa babyrussa,11
bettongia lesueur,11
blarina [unknown],11
bos ?,11
brachyerix incertis,11
brachytarsomys albicauda,11
brachyuromys basileoensis,11
cabassous centralis,11
callimico goeldii,11
calomys venustus,11
canis armbrusteri,11
cephalophus dorsalis,11
cercopithecus diana,11
cervus nannodes,11
cimolomys sp,11
claenodon sp,11
colodon cingulatus,11
copemys lindsayi,11
cratogeomys fulvescens,11
cricetops dormitor,11
crocidura horsfieldi,11
crocidura siberica,11
cryptotis alticola,11
cryptotis goldmani,11
cynopterus horsfieldii,11
cynorca proterva,11
dasypus bellus,11
dasyurus geoffroyi,11
dendromus nyikae,11
desmatolagus schizopetrus,11
dicrostonyx exsul,11
diprionomys? sp,11
dissacus sp,11
eoconodon nidhoggi,11
eucastor tortus,11
eumops dabbenei,11
euroxenomys inconnexus,11
felis pardus,11
gerbillurus tytonis,11
golunda ellioti,11
helogale parvula,11
hendryomeryx wilsoni,11
herpestes ichneumon,11
hodomys alleni,11
homo erectus,11
hydrodamalis gigas,11
hylobates concolor,11
hyopsodus loomisi?,11
hypertragulus calcaratus,11
keeuna woodburnei,11
kerivoula hardwickii,11
kobus ellipsiprymus,11
lagothrix sp.,11
leidymys sp,11
limnenetes sp,11
limnotragus spekii,11
lonchophylla concava,11
lophiparamys sp,11
makapania broomi,11
mammuthus ?,11
marmosa lepida,11
marmosa venusta,11
megaderma lyra,11
megatylopus matthewi,11
metarhinus sp,11
microtus limnophilus,11
microtus umbrosus,11
mimetodon sp,11
mops demonstrator,11
mormopterus planiceps,11
murina cyclotis,11
myomys verreauxi,11
myospalax myospalax,11
myotis nattereri,11
myoxus glis,11
nannippus gratum,11
natalus sp.,11
niviventer fulvescens,11
notomys fuscus,11
nyctalus leisleri,11
nycteris sp.,11
ochotonid sp,11
oecomys sp.,11
oligoryzomys chaparensis,11
otomys kempi,11
otopteropus cartiladgonodus,11
ovis sp.,11
palaeanodont sp,11
palaeocastor fossor,11
palaeocastor peninsulatus,11
palaeoryctes punctatus,11
paramelomys mollis,11
parapapio antiquus,11
paromomys maturus,11
pelea capreolus,11
pelycomys placidus,11
perameles nasuta,11
periptychus carinidens,11
perognathoides madisonensis,11
peromyscus gossypinus/leucopus,11
peromyscus leucopus/maniculatus,11
peromyscus winkelmanni,11
phascogale tapoatafa,11
phoca sp.,11
phocoena spinipinnis,11
pipistrellus nathusii,11
pipistrellus sp,11
platyrrhinus ismaeli,11
plesippus shoshoensis,11
procavia transvaalensis,11
procoptodon pusio,11
procyon maynardi,11
proechimys canicollis,11
proechimys sp,11
protoceratid sp,11
pseudhipparion gratum,11
pteronotus fuliginosus,11
pteronura brasiliensis,11
pteropus sp.,11
puma yagouaroundi,11
punomys kofordi,11
ratufa indica,11
reithrodontomys brevirostris,11
rhinolophus rufus,11
rhipidomys austrinus,11
rhodanomys schlosseri,11
rhogeessa alleni,11
saccopteryx canescens,11
saghatherium antiquum,11
sorex areneus,11
sorex gaspensis,11
spermophilus suslicus,11
sphaeronycteris toxophyllum,11
stehlinia minor,11
tadarida laticaudata,11
tadarida transvaalensis,11
taeniodont sp,11
taphozous australis,11
theridomys gregarius,11
thomasomys daphne,11
thomasomys sp.,11
thylamys pusilla,11
trimylus roperi,11
tupaia javanica,11
uintamys sciuroides,11
uropsilus soricipes,11
zygomaturus trilobus,11
aethomys aethomys,10
aethosciurus vexillarius,10
akodon kempi,10
alces ?,10
allocricetulus curtatus,10
aluatta palliata,10
anomalurus derbianus,10
anthracotheriid sp,10
archaeohippus ultimus,10
artibeus ?,10
artiodactyl? sp,10
atherurus turneri,10
balaenoptera ?,10
bassaricyon alleni,10
bathygenys sp,10
blastomeryx mollis,10
brachyrhynchocyon dodgei,10
callosciurus finlaysonii,10
calomys fecundus,10
carollia ?,10
carsioptychus coarctatus,10
catopsalis calgariensis,10
cavia sp.,10
centetodon bembicophagus,10
cercopithecus cephus,10
cervus dama,10
chilonycteris torrei,10
chiropodomys gliroides,10
colpocherus mississippiensis,10
cratogeomys planiceps,10
cryptoprocta ferox,10
ctenomys conoveri,10
cynomys sp.,10
cynorca occidentale,10
dasymys lavocati,10
dasyprocta sp,10
deinotherium giganteum,10
dendrolagus matschiei,10
dinictis sp,10
dipodomys phillipsi,10
diprionomys tertius,10
dusicyon australis,10
dyseohyus fricki,10
elephantulus brachyrhynchus,10
elephantulus fuscus,10
entomolestes nitens,10
eptesicus phasma,10
eptesicus sp,10
erinaceid sp,10
eumetopias jubata,10
euryoryzomys emmonsae,10
gazella gazella,10
geomys colonus,10
globicephala macrorohynchus,10
harpagolestes sp,10
helaletid sp,10
herpestes auropunctatus,10
hesperoptenus tickelli,10
hipparion sp,10
hipparion venustum,10
hypnomys morpheus,10
hyrachyus modestus,10
ichthyomys tweedii,10
idiurus zenkeri,10
karstala silva,10
lagenorhynchus albirostris,10
lagidium viscacia,10
lariscus insignis,10
lasionycteris sp.,10
leggada setulosus,10
lenniratherium milleri,10
lophuromys lophuromys,10
macaca sinica,10
macropus parma,10
madoqua kirki,10
mandrillus leucophaeus,10
marmosa simonsi,10
marmota caudata,10
marmota sibirica,10
melogale everetti,10
mephitis sp,10
meriones auceps,10
mesocricetus brandti,10
mesodma primaeva,10
microdyromys complicatus,10
microparamys nanus,10
microtus epiroticus,10
microtus minor,10
miniopterus pusillus,10
molossus ?,10
monodelphis brevicaudata,10
monodelphis glirina,10
morganucodon watsoni,10
myotis melanorhinus,10
mystromys hausleitneri,10
mytonomys robustus,10
nannippus aztecus,10
natrona sp,10
neofiber leonardi,10
neotoma abbreviata,10
nesokerodon minor,10
niptomomys doreenae,10
noctilio labialis,10
notharctus robustior,10
notocricetodon petteri,10
nycteris woodi,10
ochotona sp.,10
oecomys trinitatus,10
oligoryzomys navus,10
onychogalea froenata,10
orthogeomys cavator,10
oryzomys bolivaris,10
otomys barbouri,10
oxydactylus sp,10
palaechthon alticuspis,10
palaechthon? sp,10
paraechinus micropus,10
perodipus simulans,10
peromyscus boylli,10
peromyscus guardia,10
petrogale pencillata,10
phenacomys longicaudus,10
phyllostomus verrucosus,10
picrodus sp,10
pipistrellus ceylonicus,10
pipistrellus inexspectatus,10
pitymys meadensis,10
proechimys guairae,10
proechimys mincae,10
proscalops miocaenus,10
prosciurus clausulus,10
protylopus petersoni,10
pseudocylindrodon? sp,10
pseudotomus petersoni,10
pteromys volucella,10
pteronotus sp.,10
rattus sordidus,10
rhinoceros unicornis,10
rhinolophus luctus,10
rhinolophus maclaudi,10
rhogeessa bickhami,10
rodentia sp.,10
saccopteryx sp.,10
sigmoceros lichtensteinii,10
spermophilus adocetus,10
sphenophalos nevadanus,10
stephanomys minor,10
strepsiceros imberbis,10
sturnira oporophilum,10
stylodipus telum,10
subhyracodon occidentalis,10
sylvilagus mansuetus,10
systemodon tapirinum,10
taeromys sp.,10
thomomys leucodon,10
thryonomys gregorianus,10
thylamys tatei,10
tuscahomys minor,10
tyrrhenicola henseli,10
uromys macropus,10
urotrichus soricipes,10
utahia kayi,10
vulpes zerda,10
wakiewakie lawsoni,10
wallabia rufogrisea,10
wyonycteris primitivus,10
zapus montanus,10
akodon budini,9
alcelaphus caama,9
alticola stoliczkanus,9
alwoodia magna,9
anchilophus dumasi,9
anconodon gidleyi,9
anisonchus sectorius,9
anomalurus fraseri,9
anoura caudifera,9
aphelops sp,9
apodemus microps,9
arretotherium silex,9
artibeus rava,9
atelocynus microtis,9
bathyopsis sp,9
bettongia gaimardi,9
blarina brevicauda?,9
brachycrus sweetwaterensis,9
brachygaulus nicholsi,9
caenopithecus lemuroides,9
callophoca obscura,9
canis dingo,9
canis sp,9
cantius mckennai,9
capra sibirica,9
carpodaptes hazelae,9
centronycteris maximiliani,9
cercopithecus petaurista,9
cervus eldi,9
cervus macrotis,9
ceutholestes sp,9
chaetodipus flavus,9
chelemys megalonyx,9
chinchilla chinchilla,9
chriacus baldwini,9
cimexomys judithae,9
citellus armatus,9
colodon woodi,9
colomys goslingi,9
copecion brachypternus,9
copelemur praetutus,9
cricetomys emini,9
crocidura dracula,9
crocidura viaria,9
crocidura zarudnyi,9
cryptotis phillipsii,9
ctenomys perrensi,9
cynopterus horsfieldi,9
daphoenus sp,9
dasypus pilosus,9
daubentonia madagascariensis,9
dendrolagus goodfellowi,9
desmodus youngi,9
diacodexis secans-metsiacus,9
didelphis pernigra,9
dikkomys matthewi,9
dinofelis barlowi,9
dolichorhinus longiceps,9
ellobius fuscocapillus,9
entoptychus sperryi,9
epitriplopus uintensis,9
eulemur fulvus,9
euneomys mordax,9
evotomys proteus,9
exilisciurus concinnus,9
felid sp,9
felis pardalis,9
galago alleni,9
gazella spekei,9
gingerichia sp,9
gregorymys sp,9
guerlinguetus sp.,9
handleyomys chapmani,9
haplaletes pelicatus,9
helaletes nanus,9
helogale victorina,9
hemitragus jemlahicus,9
herpetocetus bramblei,9
hexaprotodon liberiensis,9
hipparion minus,9
hipposideros dyacorum,9
hippotragus broomi,9
ignacius fremontensis,9
ischyrosmilus johnstoni,9
kerivoula picta,9
lasiurus seminolis,9
leggada sp.,9
leidymys nematodon,9
lemmus amurensis,9
leptomeryx elegans,9
liotomus marshi,9
lophialetes expeditus,9
lophiomeryx chalaniati,9
lophuromys sikapusi,9
lycalopex gymnocercus,9
lynx sp.,9
macaca sylvanus,9
macropodidae sp.,9
macropus canguru,9
manis crassicaudata,9
marmosa waterhousei,9
maxomys dollmani,9
mazama sp.,9
melogale moschata,9
merychippus brevidontus,9
merychippus republicanus,9
merycodus sabulonis,9
mesocyon coryphaeus,9
metechinus amplior,9
microcebus murinus,9
micronycteris sp.,9
microtus duodecimcostatus,9
microtus savii,9
miotomodon mayi,9
mojavemys alexandrae,9
mormopterus beccarii,9
mus major,9
myocricetodon cherifiensis,9
myospalax psilurus,9
myotis atacamensis,9
myotis cilioabrum,9
myotis oxygnathus,9
nanotragulus loomisi,9
napaeozapus sp,9
neohipparion lenticulare,9
neotamias sibiricus,9
neotoma angustapalata,9
neotoma floridana?,9
neotragus batesi,9
nycticebus pygmaeus,9
nyctithere sp,9
ondatra hiatidens,9
oreolagus sp,9
oryx leucoryx,9
oryzomys goeldi,9
oxymycterus dasytrichus,9
pachynolophus duvali,9
palaeictops tauricinerei,9
palaeolagus hypsodus,9
palaeoryctid sp,9
palaeotherium magnum,9
paracamelus gigas,9
paramys delicatus,9
paranyctimene sp.,9
paraxerus poensis,9
perikoala robusta,9
periptychus coarctatus,9
petaurus norfolcensis,9
pithanotaria starri,9
plesiogulo marshalli,9
pliomastodon vexillarius,9
praomys sp.,9
primate? sp,9
prodiacodon tauricinerei,9
prodolichotis pridiana,9
proechimys guyannensis,9
prolagus sp,9
promerycochoerus carrikeri,9
promioclaenus pipiringosi,9
pronothodectes matthewi,9
protoptychus hatcheri,9
protoselene opisthacus,9
pseudotomus sp,9
pteronotus macleayii,9
pudu pudu,9
rattus sp,9
rhinolophus lepidus,9
rhinolophus trifoliatus,9
rhogeessa genowaysi,9
rhynchocyon chrysopygus,9
rousettus shortridgei,9
rucervus duvaucelii,9
saguinus mystax,9
sciurus durangi,9
sciurus yucatanensis,9
selenaletes scopaeus,9
selenaletes sp,9
simpsonodus chacensis,9
spermophilus annulatus,9
spermophilus jerae,9
spilogale phenax,9
stenodelphis sternbergi,9
sundasciurus juvencus,9
sylvilagus floridanus/robustus,9
sylvilagus idahoensis,9
tapir sp,9
tetracerus quadricornis,9
theridomys aquatilis,9
thomasomys ladewi,9
thomomys fossor,9
thylacinus cynocephalus,9
thylamys bruchi,9
tragocerus amaltheus,9
tricuspiodon rutimeyeri,9
trigonias osborni,9
tuscahomys major,9
tympanoctomys barrerae,9
urocyon sp.,9
uromys caudimaculatus,9
urotrichus pilirostris,9
vulpes sp.,9
xerospermophilus perotensis,9
yoderimys sp,9
zygodontomys microtinus,9
aceratherium lemanense,8
adjidaumo douglassi,8
amblonyx cinereus,8
amphitragulus elegans,8
anemorhysis tenuiculus,8
anisonchus oligistus,8
antiacodon vanvaleni,8
arctocyonid sp,8
arvicanthis abyssinicus,8
ateles belzebuth,8
bachitherium medium,8
bachitherium minus,8
balaena sp.,8
bolomys amoenus,8
bos javanicus,8
bradypus sp.,8
bubalus palaeokerabau,8
bunophorus grangeri,8
camelus sp.,8
carpolestes negridens,8
cebochoerus lautricense,8
centetodon chadronensis,8
cercopithecoides williamsi,8
cercopithecus neglectus,8
cheiromeles torquatus,8
chlamyphorus truncatus,8
chriacus gallinae,8
chunia illuminata,8
citellus columbianus,8
colodon cingulatus?,8
conepatus semistriatus,8
crocidura bicolor,8
crocidura leucodon,8
crocidura susiana,8
cryptotis thomasi,8
cynomolgus fascicularis,8
dasyprocta variegata,8
dasypus hybridus,8
dendrolagus dorianus,8
desmana moschata,8
desmodus sp.,8
diacodexis gigasei,8
diceratherium niobrarense,8
dicrocerus elegans,8
didelphodus altidens,8
dipodomys mohavensis,8
dipoides stirtoni,8
dromomeryx sp,8
dymecodon pilirostris,8
elaphurus davidianus,8
elephantulus edwardii,8
eomyid? sp,8
eotitanotherium osborni,8
equus ?,8
equus giganteus,8
equus hemionus,8
equus hemippus,8
equus zebra,8
eucastor sp,8
eulemur macaco,8
eutamias sp.,8
exilisciurus whiteheadi,8
galago crassicaudatus,8
gazella dama,8
genetta sp.,8
geocapromys browni,8
georychus capensis,8
gerbillus amoenus,8
gerbillus campestris,8
glossophaga alticola,8
haplomastodon waringi,8
helogale macmillani,8
herpestes urva,8
hesperaceras radinskyi,8
hesperomys expulsus,8
hesperopetes jamesi,8
heteromys goldmani,8
hyaena spelaea,8
hyaenodon compressus,8
hyaenodon crucians,8
hylopetes spadiceus,8
hypolagus? sp,8
indohyus indirae,8
lasiopodomys deceitensis,8
leipsanolestes seigfriedti,8
leopardus tigrinus,8
leptodontomys catalaunicus,8
leptotomus caryophilus,8
lepus bairdi,8
lepus siamensis,8
lepus sinensis,8
limnoecus? sp,8
limnogale mergulus,8
macaca cyclopis,8
makalata macrura,8
mckennatherium sp,8
megalonyx jeffersonii,8
merychippus relictus,8
mesoplodon densirostris,8
microcavia niata,8
microgale dobsoni,8
microsciurus mimulus,8
microsciurus sp.,8
microtus serpens,8
miniopterus fraterculus,8
miohippus sp,8
mops mops,8
mormopterus acetabulosus,8
muntiacus muntjac,8
mus caroli,8
mus famulus,8
mylagaulus monodon,8
myotis abbotti,8
myotis blythi,8
myotis dasycneme,8
myotis formosus,8
myotis ridleyi,8
myotis tricolor,8
myrmecobius fasciatus,8
nambaroo tarrinyeri,8
nannippus phlegon,8
navajovius kohlhaasae,8
neacomys guianae,8
neophoca cinerea,8
niptomomys favorum,8
notiosorex sp.,8
notomys mitchelli,8
notoryctes typhlops,8
nyctophilus timoriensis,8
odocoileus columbianus,8
oecomys speciosus,8
oligoryzomys delticola,8
oncifelis geoffroyi,8
onychogalea lunata,8
oryzomys legatus,8
oryzomys ratticeps,8
oryzomys sp,8
otomys denti,8
otopteropus cartilaginodus,8
